Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1999-9388-UGA,1999,9388,,Natural,Climatological,Drought,Drought,,,Uganda,UGA,Eastern Africa,Africa,"Abim, Amudat, Kaabong, Kotido, Moroto, Nakapiripirit, Napak provinces",,Famine,,,,,,,Km2,,,,,1999,8,,2001,,,115,,700000,,700000,,,,,,,61.47366718,1,743;744;765;772;773;775;47074,,"Abim, Amudat, Kaabong, Kotido, Moroto, Nakapiripirit, Napak (Adm1)."
2001-9152-AGO,2001,9152,,Natural,Climatological,Drought,Drought,,,Angola,AGO,Middle Africa,Africa,Cuanza Sul province,,Famine,,,,,,,Km2,,,,,2001,1,,2001,,,58,,,,,,,,,,,65.34555871,1,403,,Cuanza Sul (Adm1).
2001-9044-BFA,2001,9044,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,Plateau Central province,,,,,,,,,Km2,,,,,2001,4,,2001,,,,,,,,,,,,,,65.34555871,1,40286,,Plateau Central (Adm1).
2001-9409-MRT,2001,9409,,Natural,Climatological,Drought,Drought,,,Mauritania,MRT,Western Africa,Africa,"Assaba, Brakna, Gorgol, Tagant, Nouackchott, Inchiri, Adrar, Hodh el Gharbi, Hodh ech Chargi, Tiris-Zemmour, Dakhlet-Nouadhibou provinces",,Food shortage,,,Yes,,417,,Km2,,,,,2001,4,,2003,,,,,1000000,,1000000,,,,,,,65.34555871,1,2004;2005;2006;2007;2008;2010;2011;2012;2013;2014;2015,,"Adrar, Assaba, Brakna, Dakhlet-Nouadhibou, Gorgol, Hodh Ech Chargi, Hodh El Gharbi, Inchiri, Nouakchott, Tagant, Tiris-Zemmour (Adm1)."
2001-9044-MLI,2001,9044,,Natural,Climatological,Drought,Drought,,,Mali,MLI,Western Africa,Africa,"Bamako, Gao, Kayes, Koulikoro, Mopti, Segou, Sikasso provinces; Dire, Gourma-Rharous, Niafunke districts (Tombouctou province) (South/Sahel region)",,Famine,,,,,,,Km2,,,,,2001,4,,2001,,,,,,,,,,,,,,65.34555871,1;2,1926;1927;1928;1930;1931;1932;1933,19416;19418;19419,"Bamako, Gao, Kayes, Koulikoro, Mopti, Segou, Sikasso (Adm1). Dire, Gourma-Rharous, Niafunke (Adm2)."
2001-9067-CMR,2001,9067,,Natural,Climatological,Drought,Drought,,,Cameroon,CMR,Middle Africa,Africa,Nord province,,,,,,,,,Km2,,,,,2001,1,,2001,,,,,,,,,,,,,,65.34555871,1,820,,Nord (Adm1).
2001-9048-MOZ,2001,9048,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,Inhambane province,,,,,,,,,Km2,,,,,2001,1,,2001,,,,,100000,,100000,,,,,,,65.34555871,1,2114,,Inhambane (Adm1).
2001-9122-MOZ,2001,9122,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Maputo, Gaza, Inhambane, Sofala, Tete, Zambezia provinces",,,,,,,,900,Km2,,,,,2002,3,,2002,,,9,,600000,,600000,,,,,,,65.34555871,1,2113;2114;2120;2121;2122;41373,,"Gaza, Inhambane, Maputo, Sofala, Tete, Zambezia (Adm1)."
2002-9333-LSO,2002,9333,,Natural,Climatological,Drought,Drought,,,Lesotho,LSO,Southern Africa,Africa,"Qacha's Nek, Quthing, Mohale's Hoek provinces",,Famine,Food shortage,,,,,,Km2,,,,,2002,4,,2003,,,,,500000,,500000,,,,,,,66.3819637,1,1808;1810;1811,,"Mohale's Hoek, Qacha's Nek, Quthing (Adm1)."
2002-9398-CPV,2002,9398,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,"Santiago, Santo Antao Provinces",,Food shortage,,,,,,,Km2,,,,,2002,6,,2002,,,,,30000,,30000,,,,,,,66.3819637,1,848;849,,"Santiago, Santo Antao (Adm1)."
